Gen,Animal,Label,Mark,Mating,Gender,Genotypes,Vendor,Father Id,Mother Id
5,19,1063,,N/A,female,unsp,Colony,,
5,69,1991,,N/A,female,unsp,Colony,,
6,837,EPR,,15,female,unsp,unspecified,49,47
6,1161,,,20,female,unsp,unspecified,67,69
6,1341,,EPL,8,female,unsp,unspecified,21,19
6,1349,,,13,female,unsp,unspecified,41,39
6,1407,,,16,female,unsp,unspecified,51,53
6,3301,,EPL,48,female,unsp,unspecified,1361,837
6,21,1112,,N/A,male,unsp,Colony,,
6,27,1793,,N/A,male,unsp,Colony,,
,41,2437,,N/A,male,unsp,Colony,,
,43,1850,,N/A,male,unsp,Colony,,
,49,1838,,N/A,male,unsp,Colony,,
,51,1974,,N/A,male,unsp,Colony,,
,67,2451,,N/A,male,unsp,Colony,,
,179,4301,,N/A,male,unsp,Colony,,
,1361,,,14,male,unsp,unspecified,43,45
1,1525,,,20,male,unsp,unspecified,67,69
1,19,1063,,N/A,female,unsp,Colony,,
2,29,1994,,N/A,female,unsp,Colony,,
2,39,2406,,N/A,female,unsp,Colony,,
2,45,1941,,N/A,female,unsp,Colony,,
2,47,2407,,N/A,female,unsp,Colony,,
3,53,2318,,N/A,female,unsp,Colony,,
3,69,1991,,N/A,female,unsp,Colony,,
3,169,4232,,N/A,female,unsp,Colony,,
3,837,EPR,,15,female,unsp,unspecified,49,47
3,1349,,,13,female,unsp,unspecified,41,39
3,41,2437,,N/A,male,unsp,Colony,,
3,43,1850,,N/A,male,unsp,Colony,,
3,49,1838,,N/A,male,unsp,Colony,,
4,67,2451,,N/A,male,unsp,Colony,,
4,39,2406,,N/A,female,unsp,Colony,,
4,45,1941,,N/A,female,unsp,Colony,,
4,47,2407,,N/A,female,unsp,Colony,,
4,69,1991,,N/A,female,unsp,Colony,,
4,8285,,,136,female,,,136m,7896
4,7896,mom,,104,female,,,6308,6317
4,136m,dad,,129,male,,,7464,7470
1,7464,gpa,,121,male,,,6616,6624
1,7470,gma,,100,female,,,3415,3316
2,6616,,,116,male,,,6243,6317
2,3415,,,71,male,,,1431,1407
2,6308,,EPL,77,male,unsp,unspecified,1524,1341
2,6317,,,95,female,unsp,unspecified,3382,3301
3,1524,,,20,male,unsp,unspecified,67,69
3,3382,,,76,male,unsp,unspecified,1525,1349
3,1341,,EPL,8,female,unsp,unspecified,21,19
