Gen,Animal,Label,Mark,Mating,Gender,Genotypes,Vendor,Father.Id,Mother.Id,X,sex,
,,,,,,,,,,,,
NA,148f,,,137,female,,0,7859,7695,,2,
,,,,,,,,,,,,
NA,148m,,,131,male,,0,7684,7631,,1,
,,,,,,,,,,,,
NA,7684,,,,male,,0,6619,6626,,1,
,,,,,,,,,,,,
NA,7631,,,,female,,0,6609,6605,,2,
,,,,,,,,,,,,
1,6609,,,115,male,unsp,0,6256,6318,,1,
,,,,,,,,,,,,
1,6605,,,113,female,unsp,0,6252,6319,,2,
,,,,,,,,,,,,
2,6252,,EPL,76,male,unsp,0,1525,1349,,1,
,,,,,,,,,,,,
2,6319,,,95,female,unsp,0,3382,3301,,2,
,,,,,,,,,,,,
1,6619,,,117,male,unsp,0,6244,6293,,1,
,,,,,,,,,,,,
1,6626,,EPL,100,female,unsp,0,3415,3316,,2,
,,,,,,,,,,,,
2,6244,,,49,male,unsp,0,1373,832,,1,
,,,,,,,,,,,,
2,6293,,,63,female,unsp,0,1415,1368,,2,
,,,,,,,,,,,,
NA,139b,,,139,female,,0,8332,8285,,2,
NA,139b3,,,139,male,,0,8332,8285,,1,Lorra saved
NA,139b2,,,139,male,,0,8332,8285,,1,Lorra saved
NA,149b,,,149,male,,0,149m,149f,,1,
,,,,,,,,,,,,
NA,149m,,,136,male,,0,136m,7896,,1,
,,,,,,,,,,,,
NA,149f,,,139,female,,0,8332,8285,,2,
,,,,,,,,,,,,
NA,143m,,,139,male,,0,8332,8285,,1,
,,,,,,,,,,,,
NA,143f,,,141,female,,0,8531,8491,,2,
,,,,,,,,,,,,
NA,8491,,,112,female,,0,6255,6304,,2,
,,,,,,,,,,,,
NA,8531,,,137,male,,0,7859,7695,,1,
,,,,,,,,,,,,
1,6255,,,77,male,unsp,0,1524,1341,,1,
,,,,,,,,,,,,
1,6304,,,96,female,unsp,0,3067,3325,,2,
,,,,,,,,,,,,
2,3067,,,84,male,unsp,0,1547,1308,,1,
,,,,,,,,,,,,
2,3325,,EPL,64,female,unsp,0,1404,1363,,2,
,,,,,,,,,,,,
3,1404,,EPL,16,male,unsp,0,51,53,,1,
,,,,,,,,,,,,
3,1547,,,23,male,unsp,0,173,163,,1,
,,,,,,,,,,,,
3,1308,,,18,female,unsp,0,59,61,,2,
,,,,,,,,,,,,
3,1363,,EPL,14,female,unsp,0,43,45,,2,
,,,,,,,,,,,,
1,7859,,,111,male,unsp,0,6237,6312,,1,
,,,,,,,,,,,,
1,7695,,,124,female,unsp,0,6590,6595,,2,
,,,,,,,,,,,,
2,6590,,EPL,103,male,unsp,0,6294,6350,,1,
