Gen,Animal,Label,Mark,Mating,Gender,Genotypes,Vendor,Father.Id,Mother.Id,
NA,149b,,,149,male,,,149m,149f,
NA,149m,,,136,male,,,136m,7896,
NA,149f,,,139,female,,,8332,8285,
NA,143m,,,139,male,,,8332,8285,
NA,143f,,,141,female,,,8531,8491,
NA,8491,,,112,female,,,6255,6304,
NA,8531,,,137,male,,,7859,7695,
1,6255,,,77,male,unsp,unspecified,1524,1341,
1,6304,,,96,female,unsp,unspecified,3067,3325,
2,3067,,,84,male,unsp,unspecified,1547,1308,
2,3325,,EPL,64,female,unsp,unspecified,1404,1363,
3,1404,,EPL,16,male,unsp,unspecified,51,53,
3,1547,,,23,male,unsp,unspecified,173,163,
3,1308,,,18,female,unsp,unspecified,59,61,
3,1363,,EPL,14,female,unsp,unspecified,43,45,
1,7859,,,111,male,unsp,unspecified,6237,6312,
1,7695,,,124,female,unsp,unspecified,6590,6595,
2,6590,,EPL,103,male,unsp,unspecified,6294,6350,
2,6595,,,99,female,unsp,unspecified,3405,3254,
3,3405,,,81,male,unsp,unspecified,1399,1419,
3,6294,,,63,male,unsp,unspecified,1415,1368,
3,3254,,,63,female,unsp,unspecified,1415,1368,
3,6350,,,99,female,unsp,unspecified,3405,3254,
4,1399,,EPL,15,male,unsp,unspecified,49,47,
4,1419,,,12,female,unsp,unspecified,35,37,
5,35,1786,,N/A,male,unsp,Colony,,,
5,37,2315,,N/A,female,unsp,Colony,,,
NA,8332,,,135,male,,,7858,7888,
1,7858,,EPL,115,male,unsp,unspecified,6256,6318,
1,7888,,EPL,128,female,unsp,unspecified,7500,7471,
2,7500,,,104,male,unsp,unspecified,6308,6317,
2,7471,,,100,female,unsp,unspecified,3415,3316,
NA,8285,,,136,female,,,136m,7896,
NA,136m,dad,,129,male,,,7464,7470,
