,Gen,Animal,Label,Mark,Mating,Gender,Genotypes,Vendor,Father.Id,Mother.Id,X,sex
160,4,1415,,,23,male,unsp,unspecified,173,163,,1
161,4,1427,,,18,male,unsp,unspecified,59,61,,1
162,4,1368,,,25,female,unsp,unspecified,177,167,,2
163,4,1408,,,16,female,unsp,unspecified,51,53,,2
164,5,173,4246,,N/A,male,unsp,Colony,,,,1
165,5,163,4233,,N/A,female,unsp,Colony,,,,2
166,1,6256,,,77,male,unsp,unspecified,1524,1341,,1
167,1,6318,,,95,female,unsp,unspecified,3382,3301,,2
168,NA,b2f,,,139,female,,,8332,8285,,2
169,,b1b2,,,b1,male,,,b1m,b1f,,
170,NA,b1b1,,,b1,male,,,b1m,b1f,,1
171,NA,b1f,,,141,female,,,8531,8491,,2
172,NA,b1m,,,139,male,,,8332,8285,,1
173,NA,143b,,,143,male,,,143m,143f,,2
174,,148b1,,,148,male,,,148m,148f,,
175,,148b2,,,148,male,,,148m,148f,,
176,NA,148b,,,148,female,,,148m,148f,,2
177,NA,148f,,,137,female,,,7859,7695,,2
178,NA,148m,,,131,male,,,7684,7631,,1
179,NA,7684,,,,male,,,6619,6626,,1
180,NA,7631,,,,female,,,6609,6605,,2
181,1,6609,,,115,male,unsp,unspecified,6256,6318,,1
182,1,6605,,,113,female,unsp,unspecified,6252,6319,,2
183,2,6252,,EPL,76,male,unsp,unspecified,1525,1349,,1
184,2,6319,,,95,female,unsp,unspecified,3382,3301,,2
185,1,6619,,,117,male,unsp,unspecified,6244,6293,,1
186,1,6626,,EPL,100,female,unsp,unspecified,3415,3316,,2
187,2,6244,,,49,male,unsp,unspecified,1373,832,,1
188,2,6293,,,63,female,unsp,unspecified,1415,1368,,2
189,NA,139b,,,139,female,,,8332,8285,,2
190,NA,149b,,,149,male,,,149m,149f,,1
191,NA,149m,,,136,male,,,136m,7896,,1
192,NA,149f,,,139,female,,,8332,8285,,2
193,NA,143m,,,139,male,,,8332,8285,,1
194,NA,143f,,,141,female,,,8531,8491,,2
195,NA,8491,,,112,female,,,6255,6304,,2
196,NA,8531,,,137,male,,,7859,7695,,1
197,1,6255,,,77,male,unsp,unspecified,1524,1341,,1
198,1,6304,,,96,female,unsp,unspecified,3067,3325,,2
199,2,3067,,,84,male,unsp,unspecified,1547,1308,,1
200,2,3325,,EPL,64,female,unsp,unspecified,1404,1363,,2
201,3,1404,,EPL,16,male,unsp,unspecified,51,53,,1
202,3,1547,,,23,male,unsp,unspecified,173,163,,1
